family,genus,specificEpithet,species_INAT
Acanthodrilidae,Diplocardia,alabamana,Diplocardia alabamana
Acanthodrilidae,Diplocardia,caroliniana,Diplocardia caroliniana
Acanthodrilidae,Diplocardia,farmvillensis,Diplocardia farmvillensis
Acanthodrilidae,Diplocardia,farrishi,Diplocardia farrishi
Acanthodrilidae,Diplocardia,zicsii,Diplocardia zicsii
Acanthodrilidae,Diplotrema,acropetra,Diplotrema acropetra
Acanthodrilidae,Diplotrema,annectens,Diplotrema annectens
Acanthodrilidae,Diplotrema,armifera,Diplotrema armifera
Acanthodrilidae,Diplotrema,athertoni,Diplotrema athertoni
Acanthodrilidae,Diplotrema,australis,Diplotrema australis
Acanthodrilidae,Diplotrema,bidiverticulata,Diplotrema bidiverticulata
Acanthodrilidae,Diplotrema,bifistularis,Diplotrema bifistularis
Acanthodrilidae,Diplotrema,boardmani,Diplotrema boardmani
Acanthodrilidae,Diplotrema,bulburrinensis,Diplotrema bulburrinensis
Acanthodrilidae,Diplotrema,capricorniae,Diplotrema capricorniae
Acanthodrilidae,Diplotrema,conwayi,Diplotrema conwayi
Acanthodrilidae,Diplotrema,cornutheca,Diplotrema cornutheca
Acanthodrilidae,Diplotrema,crateris,Diplotrema crateris
Acanthodrilidae,Diplotrema,daemeli,Diplotrema daemeli
Acanthodrilidae,Diplotrema,eremia,Diplotrema eremia
Acanthodrilidae,Diplotrema,eungellae,Diplotrema eungellae
Acanthodrilidae,Diplotrema,falcatoides,Diplotrema falcatoides
Acanthodrilidae,Diplotrema,fallax,Diplotrema fallax
Acanthodrilidae,Diplotrema,glandifera,Diplotrema glandifera
Acanthodrilidae,Diplotrema,glareaphila,Diplotrema glareaphila
Acanthodrilidae,Diplotrema,gracilis,Diplotrema gracilis
Acanthodrilidae,Diplotrema,haplocystis,Diplotrema haplocystis
Acanthodrilidae,Diplotrema,heteropora,Diplotrema heteropora
Acanthodrilidae,Diplotrema,ingrami,Diplotrema ingrami
Acanthodrilidae,Diplotrema,inornata,Diplotrema inornata
Acanthodrilidae,Diplotrema,lamberti,Diplotrema lamberti
Acanthodrilidae,Diplotrema,longiductis,Diplotrema longiductis
Acanthodrilidae,Diplotrema,macleayi,Diplotrema macleayi
Acanthodrilidae,Diplotrema,magna,Diplotrema magna
Acanthodrilidae,Diplotrema,magnetis,Diplotrema magnetis
Acanthodrilidae,Diplotrema,micros,Diplotrema micros
Acanthodrilidae,Diplotrema,montana,Diplotrema montana
Acanthodrilidae,Diplotrema,montislewisi,Diplotrema montislewisi
Acanthodrilidae,Diplotrema,nemoralis,Diplotrema nemoralis
Acanthodrilidae,Diplotrema,pallida,Diplotrema pallida
Acanthodrilidae,Diplotrema,paludosa,Diplotrema paludosa
Acanthodrilidae,Diplotrema,paraeintestinalis,Diplotrema paraeintestinalis
Acanthodrilidae,Diplotrema,parva,Diplotrema parva
Acanthodrilidae,Diplotrema,planumfluvialis,Diplotrema planumfluvialis
Acanthodrilidae,Diplotrema,pseudospectabilis,Diplotrema pseudospectabilis
Acanthodrilidae,Diplotrema,quasifragilis,Diplotrema quasifragilis
Acanthodrilidae,Diplotrema,queenslandica,Diplotrema queenslandica
Acanthodrilidae,Diplotrema,retractata,Diplotrema retractata
Acanthodrilidae,Diplotrema,rigida,Diplotrema rigida
Acanthodrilidae,Diplotrema,rossi,Diplotrema rossi
Acanthodrilidae,Diplotrema,scheltingai,Diplotrema scheltingai
Acanthodrilidae,Diplotrema,schmardae,Diplotrema schmardae
Acanthodrilidae,Diplotrema,socialis,Diplotrema socialis
Acanthodrilidae,Diplotrema,spectabilis,Diplotrema spectabilis
Acanthodrilidae,Diplotrema,spenceri,Diplotrema spenceri
Acanthodrilidae,Diplotrema,sulcata,Diplotrema sulcata
Acanthodrilidae,Diplotrema,tenuiseta,Diplotrema tenuiseta
Acanthodrilidae,Diplotrema,tyagarah,Diplotrema tyagarah
Almidae,Glyphidrilus,panhai,Glyphidrilus panhai
Almidae,Glyphidrilus,samueljamesi,Glyphidrilus samueljamesi
Benhamiidae,Dichogaster,affinis,Dichogaster affinis
Benhamiidae,Dichogaster,annae,Dichogaster annae
Glossoscolecidae,Righiodrilus,cusiani,Righiodrilus cusiani
Hormogastridae,Boucheona,arrufati,Boucheona arrufati
Hormogastridae,Boucheona,corbierensis,Boucheona corbierensis
Hormogastridae,Boucheona,gallica,Boucheona gallica
Hormogastridae,Boucheona,pretiosiformis,Boucheona pretiosiformis
Hormogastridae,Boucheona,rosae,Boucheona rosae
Hormogastridae,Boucheona,tenebrae,Boucheona tenebrae
Hormogastridae,Carpetania,complutensis,Carpetania complutensis
Hormogastridae,Carpetania,elisae,Carpetania elisae
Hormogastridae,Carpetania,matritensis,Carpetania matritensis
Hormogastridae,Diazcosinia,joseantonioi,Diazcosinia joseantonioi
Hormogastridae,Diazcosinia,sacrarium,Diazcosinia sacrarium
Hormogastridae,Hormogaster,insularis,Hormogaster insularis
Hormogastridae,Norana,najaformis,Norana najaformis
Hormogastridae,Norana,regina,Norana regina
Hormogastridae,Norana,xylocerasi,Norana xylocerasi
Kazimierzidae,Kazimierzus,franciscus,Kazimierzus franciscus
Lumbricidae,Allolobophora,icterica,Allolobophora icterica
Lumbricidae,Aporrectodea,balisa,Aporrectodea balisa
Lumbricidae,Aporrectodea,carpathica,Aporrectodea carpathica
Lumbricidae,Aporrectodea,giardi,Aporrectodea giardi
Lumbricidae,Aporrectodea,gogna,Aporrectodea gogna
Lumbricidae,Aporrectodea,nocturna,Aporrectodea nocturna
Lumbricidae,Aporrectodea,ripicola,Aporrectodea ripicola
Lumbricidae,Aporrectodea,trapezoides,Aporrectodea trapezoides
Lumbricidae,Aporrectodea,tuberculata,Aporrectodea tuberculata
Lumbricidae,Aporrectodea,velox,Aporrectodea velox
Lumbricidae,Avelona,ligra,Avelona ligra
Lumbricidae,Bimastos,gieseleri,Bimastos gieseleri
Lumbricidae,Bimastos,heimburgeri,Bimastos heimburgeri
Lumbricidae,Bimastos,longicinctus,Bimastos longicinctus
Lumbricidae,Bimastos,parvus,Bimastos parvus
Lumbricidae,Bimastos,tumidus,Bimastos tumidus
Lumbricidae,Bimastos,zeteki,Bimastos zeteki
Lumbricidae,Cataladrilus,porquerollensis,Cataladrilus porquerollensis
Lumbricidae,Cernosvitovia,robusta,Cernosvitovia robusta
Lumbricidae,Cernosvitovia,sturanyi,Cernosvitovia sturanyi
Lumbricidae,Dendrobaena,madeirensis,Dendrobaena madeirensis
Lumbricidae,Dendrobaena,platyura,Dendrobaena platyura
Lumbricidae,Eisenia,ebneri,Eisenia ebneri
Lumbricidae,Eisenoides,carolinensis,Eisenoides carolinensis
Lumbricidae,Eisenoides,lonnbergi,Eisenoides lonnbergi
Lumbricidae,Lumbricus,friendoides,Lumbricus friendoides
Lumbricidae,Octodriloides,aelleni,Octodriloides aelleni
Lumbricidae,Octodriloides,benhami,Octodriloides benhami
Lumbricidae,Octodriloides,besucheti,Octodriloides besucheti
Lumbricidae,Octodriloides,binderi,Octodriloides binderi
Lumbricidae,Octodriloides,boninoi,Octodriloides boninoi
Lumbricidae,Octodriloides,daminali,Octodriloides daminali
Lumbricidae,Octodriloides,janetscheki,Octodriloides janetscheki
Lumbricidae,Octodriloides,kamnensis,Octodriloides kamnensis
Lumbricidae,Octodriloides,karawankensis,Octodriloides karawankensis
Lumbricidae,Octodriloides,marinecki,Octodriloides marinecki
Lumbricidae,Octodriloides,mimus,Octodriloides mimus
Lumbricidae,Octodriloides,omodeoi,Octodriloides omodeoi
Lumbricidae,Octodriloides,phaenohemiandrus,Octodriloides phaenohemiandrus
Lumbricidae,Octodriloides,pseudokovacevici,Octodriloides pseudokovacevici
Lumbricidae,Octodriloides,transylvanicus,Octodriloides transylvanicus
Lumbricidae,Octodrilus,bretscheri,Octodrilus bretscheri
Lumbricidae,Octodrilus,lissaensis,Octodrilus lissaensis
Lumbricidae,Octodrilus,mimus,Octodrilus mimus
Lumbricidae,Octodrilus,slovenicus,Octodrilus slovenicus
Lumbricidae,Octodrilus,tergestinus,Octodrilus tergestinus
Lumbricidae,Octolasion,montanum,Octolasion montanum
Lumbricidae,Panoniona,leoni,Panoniona leoni
Lumbricidae,Perelia,diplotetratheca,Perelia diplotetratheca
Lumbricidae,Perelia,nematogena,Perelia nematogena
Lumbricidae,Perelia,tuberosa,Perelia tuberosa
Lumbricidae,Postandrilus,bertae,Postandrilus bertae
Lumbricidae,Postandrilus,majorcanus,Postandrilus majorcanus
Lumbricidae,Postandrilus,medoakus,Postandrilus medoakus
Lumbricidae,Prosellodrilus,aragonicus,Prosellodrilus aragonicus
Lumbricidae,Rhiphaeodrilus,diplotetratheca,Rhiphaeodrilus diplotetratheca
Lumbricidae,Scherotheca,albomaculata,Scherotheca albomaculata
Lumbricidae,Scherotheca,aquitania,Scherotheca aquitania
Lumbricidae,Scherotheca,chicharia,Scherotheca chicharia
Lumbricidae,Scherotheca,dervillei,Scherotheca dervillei
Lumbricidae,Scherotheca,gigas,Scherotheca gigas
Lumbricidae,Scherotheca,jacana,Scherotheca jacana
Lumbricidae,Scherotheca,michaelseni,Scherotheca michaelseni
Lumbricidae,Scherotheca,minor,Scherotheca minor
Lumbricidae,Scherotheca,portcrosana,Scherotheca portcrosana
Lumbricidae,Scherotheca,rhodana,Scherotheca rhodana
Lumbricidae,Scherotheca,thibauti,Scherotheca thibauti
Lumbricidae,Scherotheca,trezencensis,Scherotheca trezencensis
Lumbricidae,Zophoscolex,graffi,Zophoscolex graffi
Megascolecidae,Amynthas,alexandri,Amynthas alexandri
Megascolecidae,Amynthas,aspergillum,Amynthas aspergillum
Megascolecidae,Amynthas,candidus,Amynthas candidus
Megascolecidae,Amynthas,dammermani,Amynthas dammermani
Megascolecidae,Amynthas,dinghuensis,Amynthas dinghuensis
Megascolecidae,Amynthas,dongjuensis,Amynthas dongjuensis
Megascolecidae,Amynthas,dongyinensis,Amynthas dongyinensis
Megascolecidae,Amynthas,fusing,Amynthas fusing
Megascolecidae,Amynthas,hupeiensis,Amynthas hupeiensis
Megascolecidae,Amynthas,incongruus,Amynthas incongruus
Megascolecidae,Amynthas,lalashan,Amynthas lalashan
Megascolecidae,Amynthas,lini,Amynthas lini
Megascolecidae,Amynthas,lioujia,Amynthas lioujia
Megascolecidae,Amynthas,majia,Amynthas majia
Megascolecidae,Amynthas,meishanensis,Amynthas meishanensis
Megascolecidae,Amynthas,minimus,Amynthas minimus
Megascolecidae,Amynthas,morrisi,Amynthas morrisi
Megascolecidae,Amynthas,papilio,Amynthas papilio
Megascolecidae,Amynthas,papulosus,Amynthas papulosus
Megascolecidae,Amynthas,polyglandularis,Amynthas polyglandularis
Megascolecidae,Amynthas,rockefelleri,Amynthas rockefelleri
Megascolecidae,Amynthas,swanus,Amynthas swanus
Megascolecidae,Amynthas,taipeiensis,Amynthas taipeiensis
Megascolecidae,Arctiostrotus,perrieri,Arctiostrotus perrieri
Megascolecidae,Didymogaster,sylvaticus,Didymogaster sylvaticus
Megascolecidae,Digaster,longmani,Digaster longmani
Megascolecidae,Driloleirus,americanus,Driloleirus americanus
Megascolecidae,Driloleirus,macelfreshi,Driloleirus macelfreshi
Megascolecidae,Fletcherodrilus,fasciatus,Fletcherodrilus fasciatus
Megascolecidae,Gemascolex,stirlingi,Gemascolex stirlingi
Megascolecidae,Hypolimnus,pedderensis,Hypolimnus pedderensis
Megascolecidae,Megascolex,konkanenis,Megascolex konkanenis
Megascolecidae,Megascolex,stirlingi,Megascolex stirlingi
Megascolecidae,Metaphire,californica,Metaphire californica
Megascolecidae,Metaphire,formosae,Metaphire formosae
Megascolecidae,Metaphire,glareosa,Metaphire glareosa
Megascolecidae,Metaphire,hilgendorfi,Metaphire hilgendorfi
Megascolecidae,Metaphire,peguana,Metaphire peguana
Megascolecidae,Metaphire,posthuma,Metaphire posthuma
Megascolecidae,Metaphire,schmardae,Metaphire schmardae
Megascolecidae,Metaphire,sieboldi,Metaphire sieboldi
Megascolecidae,Metaphire,yuhsii,Metaphire yuhsii
Megascolecidae,Pheretima,darnleiensis,Pheretima darnleiensis
Megascolecidae,Pithemera,bicincta,Pithemera bicincta
Megascolecidae,Polypheretima,elongata,Polypheretima elongata
Megascolecidae,Polypheretima,taprobanae,Polypheretima taprobanae
Megascolecidae,Pontodrilus,bermudensis,Pontodrilus bermudensis
Megascolecidae,Terrisswalkerius,terraereginae,Terrisswalkerius terraereginae
Megascolecidae,Tokea,orthostichon,Tokea orthostichon
Megascolecidae,Toutellus,oregonensis,Toutellus oregonensis
Octochaetidae,Octochaetus,microchaetus,Octochaetus microchaetus
Octochaetidae,Trigaster,longissima,Trigaster longissima
Rhinodrilidae,Andiodrilus,barbacoa,Andiodrilus barbacoa
Rhinodrilidae,Andiodrilus,cravijae,Andiodrilus cravijae
Rhinodrilidae,Andiorrhinus,aberratus,Andiorrhinus aberratus
Rhinodrilidae,Andiorrhinus,acaciascensis,Andiorrhinus acaciascensis
Rhinodrilidae,Andiorrhinus,brunneus,Andiorrhinus brunneus
Rhinodrilidae,Andiorrhinus,gavi,Andiorrhinus gavi
Rhinodrilidae,Andiorrhinus,motto,Andiorrhinus motto
Rhinodrilidae,Andiorrhinus,paraguayensis,Andiorrhinus paraguayensis
Rhinodrilidae,Andiorrhinus,rimeda,Andiorrhinus rimeda
Rhinodrilidae,Martiodrilus,agricola,Martiodrilus agricola
Rhinodrilidae,Martiodrilus,flavus,Martiodrilus flavus
Rhinodrilidae,Martiodrilus,quimbayaensis,Martiodrilus quimbayaensis
Rhinodrilidae,Martiodrilus,tchoukouchipan,Martiodrilus tchoukouchipan
Rhinodrilidae,Martiodrilus,tenkatei,Martiodrilus tenkatei
Rhinodrilidae,Nouraguesia,parare,Nouraguesia parare
Rhinodrilidae,Pontoscolex,cynthiae,Pontoscolex cynthiae
Rhinodrilidae,Rhinodrilus,alecrisus,Rhinodrilus alecrisus
Rhinodrilidae,Rhinodrilus,muruiborane,Rhinodrilus muruiborane
Rhinodrilidae,Rhinodrilus,sinchi,Rhinodrilus sinchi
